Month,Stocks,Bonds,Cash
11/30/1987,0.45,0.20,0.35
12/30/1987,0.46,0.21,0.33
1/30/1988,0.46,0.19,0.35
2/29/1988,0.47,0.18,0.35
3/30/1988,0.48,0.17,0.36
4/30/1988,0.49,0.17,0.35
5/30/1988,0.46,0.19,0.36
6/30/1988,0.47,0.20,0.33
7/30/1988,0.52,0.19,0.29
8/30/1988,0.47,0.18,0.36
9/30/1988,0.45,0.18,0.36
10/30/1988,0.47,0.19,0.34
11/30/1988,0.46,0.19,0.34
12/30/1988,0.45,0.23,0.33
1/30/1989,0.43,0.21,0.36
2/28/1989,0.49,0.19,0.33
3/30/1989,0.47,0.20,0.34
4/30/1989,0.47,0.20,0.34
5/30/1989,0.48,0.19,0.33
6/30/1989,0.48,0.22,0.30
7/30/1989,0.47,0.20,0.33
8/30/1989,0.48,0.23,0.29
9/30/1989,0.47,0.21,0.32
10/30/1989,0.47,0.22,0.31
11/30/1989,0.47,0.19,0.34
12/30/1989,0.52,0.15,0.33
1/30/1990,0.50,0.19,0.31
2/28/1990,0.49,0.19,0.32
3/30/1990,0.49,0.21,0.30
4/30/1990,0.49,0.18,0.33
5/30/1990,0.50,0.18,0.32
6/30/1990,0.48,0.19,0.33
7/30/1990,0.47,0.21,0.32
8/30/1990,0.46,0.20,0.34
9/30/1990,0.47,0.18,0.35
10/30/1990,0.45,0.18,0.37
11/30/1990,0.44,0.20,0.36
12/30/1990,0.45,0.21,0.34
1/30/1991,0.42,0.20,0.38
2/28/1991,0.46,0.21,0.33
3/30/1991,0.52,0.20,0.28
4/30/1991,0.51,0.19,0.30
5/30/1991,0.54,0.16,0.30
6/30/1991,0.53,0.22,0.25
7/30/1991,0.51,0.22,0.27
8/30/1991,0.49,0.22,0.29
9/30/1991,0.48,0.22,0.30
10/30/1991,0.50,0.24,0.26
11/30/1991,0.50,0.22,0.28
12/30/1991,0.53,0.19,0.28
1/30/1992,0.56,0.19,0.25
2/29/1992,0.58,0.19,0.23
3/30/1992,0.55,0.20,0.25
4/30/1992,0.55,0.19,0.26
5/30/1992,0.50,0.21,0.29
6/30/1992,0.51,0.23,0.26
7/30/1992,0.54,0.20,0.26
8/30/1992,0.51,0.22,0.27
9/30/1992,0.51,0.21,0.28
10/30/1992,0.52,0.23,0.25
11/30/1992,0.50,0.22,0.28
12/30/1992,0.54,0.20,0.26
1/30/1993,0.53,0.23,0.24
2/28/1993,0.59,0.19,0.22
3/30/1993,0.58,0.19,0.23
4/30/1993,0.61,0.18,0.21
5/30/1993,0.60,0.19,0.21
