year_month,JPNASSETS_USD,ECBASSETS_USD,FEDASSETS
2004-01-01,1266553.792474,1041207.0959999999,759938.25
2004-02-01,1328080.53521157,1020471.3215999999,753644.25
2004-03-01,1368420.63293242,1036607.6916,755538.0
2004-04-01,1332543.6121258799,1051558.8159999999,762182.0
2004-05-01,1259899.8006560002,1036103.5750000001,762913.75
2004-06-01,1229452.74801922,1095699.4578,770590.0
2004-07-01,1215305.34806313,1075345.7832000002,776094.75
2004-08-01,1240101.33002574,1061690.5164,771095.5
2004-09-01,1275005.9922165598,1077854.8248,786291.4
2004-10-01,1255372.9094528,1109446.6314,788387.5
2004-11-01,1390966.42573512,1146128.062,798767.75
2004-12-01,1404373.1826515198,1175620.3255999999,808972.6
2005-01-01,1437262.75715139,1218782.5622,807094.75
2005-02-01,1459306.4039960997,1190471.0923,800556.75
2005-03-01,1442521.12213399,1224375.1744000001,802471.6
2005-04-01,1373067.87724257,1210991.3361,803656.0
2005-05-01,1405278.1427313199,1202125.8417,805624.0
2005-06-01,1327481.76625614,1183508.9904,812643.2
2005-07-01,1329446.63809678,1204827.3252,815370.0
2005-08-01,1353456.9691819202,1212454.713,815141.8
2005-09-01,1339981.78375447,1233899.3072,820696.75
2005-10-01,1305879.54908446,1208419.5167999999,819207.25
2005-11-01,1303283.0704607698,1221500.5912000001,826201.6
2005-12-01,1294521.4512857,1219854.492,840054.25
2006-01-01,1298312.0757288,1244802.9242,836539.0
2006-02-01,1295308.94236831,1285055.5344,833804.0
2006-03-01,1249777.07336755,1276062.0058,838655.6
2006-04-01,1104673.99299337,1307702.8456,838093.75
2006-05-01,1074368.1472889,1359128.6478000002,842451.2
2006-06-01,1005461.2288952799,1417223.872,846038.0
2006-07-01,1011523.0397249999,1434388.7205,846874.0
2006-08-01,987007.3792191999,1420108.5975000001,844411.4
2006-09-01,1001587.5724362199,1433344.3355,844410.75
2006-10-01,976579.0374099299,1416319.776,849620.75
2006-11-01,1013289.0896229601,1445768.6698,858302.8
2006-12-01,995161.2435442401,1523099.732,862756.75
2007-01-01,961942.0690526398,1512110.916,861258.6
2007-02-01,976974.8187501498,1497815.592,867225.0
2007-03-01,959334.9677468099,1537543.79,868370.75
2007-04-01,897392.9448038699,1566606.9944000002,867195.25
2007-05-01,898341.9447075499,1614984.246,875321.4
2007-06-01,820802.5456076,1623677.4508,867222.25
2007-07-01,873023.7316610101,1637594.692,870706.0
2007-08-01,934988.8829719999,1581538.7042,867258.6
2007-09-01,955541.0037821999,1713667.718,878775.5
2007-10-01,927267.1424620801,1798218.8928,877940.6
2007-11-01,967031.4040984099,1871046.7518,886426.5
2007-12-01,1005120.8677265999,2225930.7541,885789.75
2008-01-01,1009132.4489299201,1968995.5781999999,894807.8
2008-02-01,1073139.86522414,1990298.9862,881700.25
2008-03-01,1088613.03599376,2109432.4268,890096.0
2008-04-01,1065759.66552825,2201575.194,886510.6
2008-05-01,1052378.7033714599,2211722.73,892986.0
